,Ticker,Company Name,Industry,Country,Market Cap
6237,URI,United Rentals Inc,Trading Companies & Distributors,US,20275.460793763174
6240,USB,US Bancorp,Banking,US,67677.46224863309
6258,V,Visa Inc,Technology,US,409131.9781937581
6268,VEEV,Veeva Systems Inc,Health Care,US,26319.344895394708
6271,VFC,VF Corp,"Textiles, Apparel & Luxury Goods",US,15831.151095429848
6278,VICI,VICI Properties Inc,Real Estate,US,31888.024546
6285,VLO,Valero Energy Corp,Energy ,US,44841.70350048372
6289,VMC,Vulcan Materials Co,Construction,US,21922.01523827698
6292,VMW,VMware Inc,Technology,US,48744.37177383087
6306,VST,Vistra Corp,Utilities,US,10392.050068
6311,VTR,Ventas Inc,Real Estate,US,19815.634287
6318,VZ,Verizon Communications Inc,Telecommunication,US,173448.20857835442
6321,WAB,Westinghouse Air Brake Technologies Corp,Machinery,US,15778.930787774174
6324,WAT,Waters Corp,Life Sciences Tools & Services,US,17862.18462126452
6338,WEC,WEC Energy Group Inc,Utilities,US,32492.912418191216
6340,WELL,Welltower OP LLC,Real Estate,US,35484.844693
6341,WES,Western Midstream Partners LP,Energy ,US,10472.79813568584
6344,WFC,Wells Fargo & Co,Banking,US,164542.4928094325
6355,WLK,Westlake Corp,Chemicals,US,12253.566865204491
6359,WM,Waste Management Inc,Commercial Services & Supplies,US,69626.3999379843
6360,WMB,Williams Companies Inc,Energy ,US,41088.838944493145
6363,WMS,Advanced Drainage Systems Inc,Building,US,11153.408965327068
6364,WMT,Walmart Inc,Retail,US,364572.9254294171
6368,WOLF,Wolfspeed Inc,Semiconductors,US,13515.833371667177
6371,WPC,WP Carey Inc,Real Estate,US,16285.370697
6378,WRB,W R Berkley Corp,Insurance,US,17181.731785376727
6381,WRK,Westrock Co,Packaging,US,10080.374930634833
6382,WSM,Williams-Sonoma Inc,Retail,US,10028.398091916146
6383,WSO,Watsco Inc,Trading Companies & Distributors,US,10609.520221789116
6385,WST,West Pharmaceutical Services Inc,Life Sciences Tools & Services,US,21573.879785749406
6388,WTRG,Essential Utilities Inc,Utilities,US,12888.31374724231
6394,WY,Weyerhaeuser Co,Real Estate,US,25200.323361
6400,XOM,Exxon Mobil Corp,Energy ,US,398384.3589271502
6407,XYL,Xylem Inc,Machinery,US,16434.377922131283
6408,Y,Alleghany Corp,Insurance,US,11302.850722896692
6419,YUM,Yum! Brands Inc,"Hotels, Restaurants & Leisure",US,32079.31984760405
6421,ZBH,Zimmer Biomet Holdings Inc,Health Care,US,22150.650479670505
6433,ZTS,Zoetis Inc,Pharmaceuticals,US,73488.39123683721
