Ticker,Company Name,Industry,Country,Market Cap
MRTN,Marten Transport Ltd,Road & Rail,US,1571.7659622720328
MRTX,Mirati Therapeutics Inc,Biotechnology,US,4506.063253546807
MRUS,Merus NV,Biotechnology,NL,1097.4057223280422
MRVI,Maravai LifeSciences Holdings Inc,Life Sciences Tools & Services,US,5326.204443236503
MRVL,Marvell Technology Group Ltd,Semiconductors,US,48974.38
MSAC,Medicus Sciences Acquisition Corp,N/A,US,114.5239
MSBI,Midland States Bancorp Inc,Banking,US,548.8168376324111
MSDA,MSD Acquisition Corp,N/A,US,709.4062770548225
MSEX,Middlesex Water Co,Utilities,US,1570.9697507959709
MSFT,Microsoft Corp,Technology,US,1909667.8037647337
MSGM,Motorsport Games Inc,Media,US,13.65039165619353
MSPR,MSP Recovery Inc,Health Care,US,5088.573109551516
MSSA,Metal Sky Star Acquisition Corp,N/A,US,145.58
MSTR,Microstrategy Inc,Technology,US,2464.27002151186
MSVB,Mid-Southern Bancorp Inc,Financial Services,US,39.243563
MTAC,Medtech Acquisition Corp,N/A,US,309.9999949949546
MTBC,CareCloud Inc,Health Care,US,58.360264387283245
MTC,MMTEC Inc,Technology,CN,5.6779719358288805
MTCH,Match Group Inc,Media,US,15615.192536397113
MTCR,Metacrine Inc,Biotechnology,US,19.475552873051228
MTEK,Maris Tech Ltd,Electrical Equipment,IL,11.04
MTEM,Molecular Templates Inc,Biotechnology,US,39.75609099163002
MTEX,Mannatech Inc,Consumer products,US,44.36821298425062
MTLS,Materialise NV,Technology,BE,679.230491
MTPH.L,Midatech Pharma PLC,Biotechnology,GB,11.080508999999997
MTRX,Matrix Service Co,Construction,US,147.88363728
MTRY,Monterey Bio Acquisition Corp,N/A,US,144.61249900198416
MTSI,MACOM Technology Solutions Holdings Inc,Semiconductors,US,3752.551022123914
MTTR,Matterport Inc,Technology,US,1189.0201811126126
MU,Micron Technology Inc,Semiconductors,US,62140.16731532716
MUDS,Mudrick Capital Acquisition Corp II,N/A,US,401.24218150590553
MULN,Mullen Automotive Inc,Automobiles,US,318.56369740525236
MURF,Murphy Canyon Acquisition Corp,N/A,US,173.889615
MVBF,MVB Financial Corp,Banking,US,383.3791588337508
MVIS,MicroVision Inc,Electrical Equipment,US,774.6736066415095
MVST,Microvast Holdings Inc,Machinery,US,714.010400898129
MXCT,MaxCyte Inc,Life Sciences Tools & Services,US,514.7254630715596
MXL,Maxlinear Inc,Semiconductors,US,2806.6904697361515
MYFW,First Western Financial Inc,Banking,US,250.66675254387948
MYGN,Myriad Genetics Inc,Biotechnology,US,1759.450537849933
MYMD,MyMD Pharmaceuticals Inc,Pharmaceuticals,US,131.82982607807807
M0Y.DE,Mynaric AG,Aerospace & Defense,DE,149.161876
MYNZ,Mainz Biomed NV,Biotechnology,DE,134.11
MYPS,Playstudios Inc,Media,US,450.7907339488637
MYRG,MYR Group Inc,Construction,US,1512.5945369021097
MYSZ,My Size Inc,Technology,IL,6.032805007832899
NAN,Nuveen New York Quality Municipal Income Fund,N/A,US,360.96
NAAC,North Atlantic Acquisition Corp,N/A,KY,470.1056139888889
NAAS,Naas Technology Inc,Diversified Consumer Services,CN,1135.04582
NAII,Natural Alternatives International Inc,Consumer products,US,69.01914446246046
NAOV,Nanovibronix Inc,Health Care,US,14.03809298745098
NARI,Inari Medical Inc,Health Care,US,3563.7615636095547
NATH,Nathan's Famous Inc,"Hotels, Restaurants & Leisure",US,261.9929934535368
NATI,National Instruments Corp,Electrical Equipment,US,5090.209960314344
NATR,Natures Sunshine Products Inc,Consumer products,US,182.63749322120285
NAUT,Nautilus Biotechnology Inc,Life Sciences Tools & Services,US,265.53259342396314
NAVI,Navient Corp,Financial Services,US,2085.6170378814127
NBEV,Newage Inc,Consumer products,US,21.75764827659575
NBIX,Neurocrine Biosciences Inc,Biotechnology,US,9851.806135146078
NBN,Northeast Bank,Banking,US,320.8574412966299
NBRV,Nabriva Therapeutics PLC,Pharmaceuticals,IE,10.88005845
NBSE,NeuBase Therapeutics Inc,Biotechnology,US,20.00036627642277
NBST,Newbury Street Acquisition Corp,N/A,US,163.45226100612874
NBTB,NBT Bancorp Inc,Banking,US,1649.2979435513053
NANO.PA,Nanobiotix SA,Biotechnology,FR,130.540581
NCAC,Newcourt Acquisition Corp,N/A,US,330.6056400019764
NCMI,National Cinemedia Inc,Media,US,91.71558819672134
NCNA,NuCana PLC,Biotechnology,GB,74.442243
NCNO,"nCino OpCo, Inc.",Technology,US,4122.571
NCPL,Netcapital Inc,Financial Services,US,12.8607573993994
NCRA,Nocera Inc,Construction,US,20.74162889423077
NCSM,NCS Multistage Holdings Inc,,US,71.79479835704126
NCTY,The9 Ltd,Media,CN,28.755617
NDAC,Nightdragon Acquisition Corp,N/A,US,432.7680129998674
NDAQ,Nasdaq Inc,Financial Services,US,29316.382036427403
NDLS,Noodles & Co,"Hotels, Restaurants & Leisure",US,209.311877503212
NDRA,ENDRA Life Sciences Inc,Health Care,US,18.31427404850615
NDSN,Nordson Corp,Machinery,US,12800.320971413563
NECB,Northeast Community Bancorp Inc,Financial Services,US,208.39424096529967
NEGG,Newegg Commerce Inc,Retail,US,1408.6282082887699
NEO,Neogenomics Inc,Life Sciences Tools & Services,US,1232.7998423833167
NEOG,Neogen Corp,Health Care,US,1944.3141418942103
NEON,Neonode Inc,Electrical Equipment,SE,48.6162285633803
